time (s),vertical,horizontal,axial
0.0168359,21.0074,-18.4984,5.69955
0.016875,21.4478,-18.5758,5.70573
0.0169141,21.8433,-18.6639,5.71344
0.0169531,22.2203,-18.855,5.70185
0.0169922,22.5985,-19.1437,5.64408
0.0170313,22.9582,-19.4025,5.52532
0.0170703,23.2574,-19.502,5.36598
0.0171094,23.4879,-19.4879,5.20352
0.0171484,23.666,-19.6029,5.05204
0.0171875,23.8139,-20.0121,4.89331
0.0172266,23.967,-20.5733,4.69561
0.0172656,24.1631,-20.9958,4.45435
0.0173047,24.403,-21.1353,4.21204
0.0173438,24.6395,-21.0922,4.01052
0.0173828,24.824,-21.1043,3.86015
0.0174219,24.9559,-21.3527,3.75578
0.0174609,25.0904,-21.8078,3.66971
0.0175,25.2923,-22.25,3.5764
0.0175391,25.5743,-22.4822,3.49854
0.0175781,25.9015,-22.53,3.46327
0.0176172,26.237,-22.61,3.45729
0.0176563,26.5525,-22.8775,3.4585
0.0176953,26.8388,-23.2293,3.45042
0.0177344,27.1247,-23.4319,3.42194
0.0177734,27.4349,-23.4115,3.387
0.0178125,27.733,-23.3159,3.37153
0.0178516,27.958,-23.3255,3.38403
0.0178906,28.0863,-23.4871,3.4161
0.0179297,28.1294,-23.7378,3.45422
0.0179688,28.1151,-23.9734,3.48849
0.0180078,28.0925,-24.0482,3.51818
0.0180469,28.0977,-23.9103,3.54841
0.0180859,28.0847,-23.7508,3.58552
0.018125,27.96,-23.7844,3.63228
0.0181641,27.6974,-23.9572,3.6895
0.0182031,27.3547,-24.0693,3.77136
0.0182422,27.0025,-24.0546,3.89924
0.0182812,26.6694,-23.9747,4.07125
0.0183203,26.3315,-23.8409,4.26399
0.0183594,25.9501,-23.6226,4.4595
0.0183984,25.5042,-23.4113,4.64404
0.0184375,24.9789,-23.3929,4.79757
0.0184766,24.3735,-23.5919,4.911
0.0185156,23.7485,-23.7961,4.99659
0.0185547,23.1853,-23.8343,5.06523
0.0185937,22.6702,-23.7588,5.1173
0.0186328,22.1353,-23.6697,5.16102
0.0186719,21.5825,-23.5862,5.2135
0.0187109,21.0428,-23.5405,5.28352
0.01875,20.5257,-23.5417,5.37329
0.0187891,20.0542,-23.4459,5.48951
0.0188281,19.6486,-23.133,5.62673
0.0188672,19.3057,-22.7856,5.75471
0.0189062,19.005,-22.7222,5.84384
0.0189453,18.7233,-22.9548,5.87545
0.0189844,18.4832,-23.1361,5.84001
0.0190234,18.3514,-23.0067,5.74987
0.0190625,18.3502,-22.7256,5.61864
0.0191016,18.391,-22.5939,5.45263
0.0191406,18.3353,-22.5968,5.28215
0.0191797,18.14,-22.5013,5.14275
0.0192187,17.8913,-22.2879,5.0423
0.0192578,17.6918,-22.1397,4.97019
0.0192969,17.5697,-22.0607,4.90165
0.0193359,17.5053,-21.8516,4.81197
0.019375,17.4751,-21.4975,4.69082
0.0194141,17.4379,-21.2338,4.52232
0.0194531,17.359,-21.1388,4.29059
0.0194922,17.2581,-21.0114,4.00684
0.0195312,17.1587,-20.7537,3.68912
0.0195703,17.0322,-20.5242,3.33669
0.0196094,16.835,-20.4238,2.95502
0.0196484,16.5535,-20.3314,2.57255
0.0196875,16.2047,-20.1253,2.20902
0.0197266,15.8266,-19.8724,1.86045
0.0197656,15.4615,-19.7315,1.52224
0.0198047,15.1113,-19.7393,1.19838
0.0198438,14.7427,-19.7425,0.887399
0.0198828,14.366,-19.5582,0.576399
0.0199219,14.0323,-19.188,0.258578
0.0199609,13.7519,-18.8069,-0.0589432
0.02,13.4827,-18.5495,-0.373175
0.0200391,13.1966,-18.4096,-0.689281
0.0200781,12.9317,-18.2927,-1.01236
0.0201172,12.743,-18.069,-1.34225
0.0201563,12.6034,-17.6761,-1.66543
0.0201953,12.4254,-17.2025,-1.96645
0.0202344,12.1946,-16.8115,-2.23789
0.0202734,11.9967,-16.6194,-2.47325
0.0203125,11.9034,-16.5936,-2.67258
0.0203516,11.9134,-16.5072,-2.83274
0.0203906,11.994,-16.1192,-2.92999
0.0204297,12.1105,-15.4644,-2.94031
