frequency (Hz),vertical,horizontal,axial
900,0.00270536,0.00234423,0.0042624
901.562,0.00425667,0.00105964,0.00280896
903.125,0.00478392,0.0026833,0.00272922
904.688,0.00413528,0.00202834,0.00166896
906.25,0.00390836,0.00139126,0.0029363
907.812,0.00262737,0.00207382,0.00400954
909.375,0.00263345,0.00183761,0.00353357
910.938,0.00223238,0.0005223,0.00509466
912.5,0.00358917,0.00130037,0.00239614
914.062,0.00317148,0.00101753,0.00240356
915.625,0.00270652,0.000782641,0.00252881
917.188,0.00330358,0.00118754,0.00118195
918.75,0.00297413,0.000946379,0.00187238
920.312,0.00237089,0.00238686,0.00348491
921.875,0.00241512,0.00473552,0.00827452
923.438,0.00281933,0.00378689,0.00881237
925,0.00416392,0.00122786,0.00534983
926.562,0.00381852,0.00171293,0.00283723
928.125,0.00152276,0.00152785,0.00268707
929.688,0.00266294,0.000823645,0.00174538
931.25,0.00482776,0.0015386,0.00158059
932.812,0.0048327,0.00140898,0.00281254
934.375,0.00180075,0.00092663,0.00183187
935.938,0.00269509,0.000938021,0.00304509
937.5,0.0040931,0.000949152,0.00319485
939.062,0.00291538,0.000385824,0.00213583
940.625,0.00219084,0.000915554,0.000577905
942.188,0.00454462,0.00143565,0.00166757
943.75,0.0059948,0.00189161,0.0027452
945.312,0.00636106,0.00132757,0.00215243
946.875,0.00620013,0.00152577,0.0029743
948.438,0.00398329,0.00138984,0.00209956
950,0.00311615,0.00102029,0.00192156
951.562,0.000660831,0.000359441,0.00212252
953.125,0.00168435,0.000855352,0.00142274
954.688,0.00343238,0.000237061,0.00200655
956.25,0.00335307,0.00113735,0.00246084
957.812,0.00150551,0.00142929,0.00248071
959.375,0.00332295,0.00144575,0.00323888
960.938,0.00332857,0.000829532,0.0029969
962.5,0.0026353,0.00109298,0.00319986
964.062,0.00330686,0.00361463,0.00312853
965.625,0.0041947,0.0050153,0.00339312
967.188,0.00301052,0.00135185,0.00260921
968.75,0.00319128,0.00138642,0.00412587
970.312,0.00227275,0.0014415,0.00336108
971.875,0.00389678,0.00103465,0.00302913
973.438,0.00366112,0.000798041,0.00260614
975,0.00287261,0.00121148,0.00165965
976.562,0.00206172,0.00145423,0.00224465
978.125,0.00195633,0.0012542,0.00225393
979.688,0.00479369,0.00142047,0.00203659
981.25,0.00467351,0.00117748,0.00227394
982.812,0.00314615,0.00181177,0.00282966
984.375,0.00134713,0.00230969,0.00168516
985.938,0.00187637,0.00195812,0.0028588
987.5,0.00304468,0.00255352,0.00306961
989.062,0.00170113,0.0027323,0.00397352
990.625,0.00190097,0.00200438,0.00377377
992.188,0.00290357,0.00407313,0.00325367
993.75,0.00276199,0.00395751,0.00226582
995.312,0.00355369,0.00222177,0.00227295
996.875,0.00362983,0.00290799,0.00318341
998.438,0.00239621,0.00621801,0.00485402
1000,0.00408743,0.00566175,0.0054852
