time (s),vertical,horizontal,axial
0.0191797,-0.604292,0.472688,-0.283112
0.0192187,-0.570626,0.548594,-0.188995
0.0192578,-0.34804,0.131824,-0.135087
0.0192969,-0.166313,0.187649,-0.170243
0.0193359,-0.0463946,0.810693,-0.245342
0.019375,0.012059,0.944479,-0.334313
0.0194141,-0.0831561,0.338865,-0.492396
0.0194531,-0.205051,0.0642711,-0.664153
0.0194922,-0.197776,0.507446,-0.763801
0.0195312,-0.197533,0.744066,-0.841366
0.0195703,-0.338674,0.360685,-0.944854
0.0196094,-0.566751,0.0704128,-0.993814
0.0196484,-0.778496,0.31865,-0.948939
0.0196875,-0.91737,0.663808,-0.894904
0.0197266,-0.932042,0.562602,-0.870713
0.0197656,-0.848873,0.0796865,-0.84077
0.0198047,-0.854381,-0.213653,-0.795655
0.0198438,-0.945053,0.103674,-0.773522
0.0198828,-0.896264,0.764688,-0.795639
0.0199219,-0.72048,1.07393,-0.809024
0.0199609,-0.618123,0.821775,-0.793987
0.02,-0.662115,0.428359,-0.791769
0.0200391,-0.706046,0.208601,-0.803677
0.0200781,-0.551717,0.307801,-0.828106
0.0201172,-0.30778,0.76623,-0.839072
0.0201563,-0.295733,1.19129,-0.793066
0.0201953,-0.508178,1.18683,-0.72331
0.0202344,-0.571189,0.760675,-0.63862
0.0202734,-0.336267,0.148499,-0.534898
0.0203125,-0.0251758,-0.107619,-0.45055
0.0203516,0.202836,0.465418,-0.330367
0.0203906,0.343106,1.46619,-0.122117
0.0204297,0.390613,1.8579,0.123378
0.0204688,0.264844,1.17654,0.354772
0.0205078,0.00288926,0.190255,0.497859
0.0205469,-0.0160348,0.0685184,0.544405
0.0205859,0.339484,1.01688,0.620989
0.020625,0.640336,1.99679,0.769044
0.0206641,0.546606,1.94232,0.924045
0.0207031,0.152966,1.09878,1.0467
0.0207422,-0.0812163,0.505218,1.10017
0.0207813,0.060562,0.558915,1.09753
0.0208203,0.175782,0.976171,1.12424
0.0208594,0.112724,1.43933,1.22266
0.0208984,0.0857951,1.67603,1.38684
0.0209375,0.0678147,1.49523,1.59054
0.0209766,0.0336514,1.06988,1.76222
0.0210156,-0.00625173,0.912084,1.88195
0.0210547,-0.104357,1.24711,2.02799
0.0210938,-0.18201,1.71362,2.21212
0.0211328,-0.159567,1.9363,2.34193
0.0211719,-0.0849617,1.88671,2.38094
0.0212109,-0.133939,1.68114,2.36731
0.02125,-0.358058,1.41983,2.32543
0.0212891,-0.555609,1.16111,2.27918
0.0213281,-0.663649,1.0624,2.26095
0.0213672,-0.705405,1.30984,2.27264
0.0214063,-0.640546,1.63336,2.30266
0.0214453,-0.574775,1.52574,2.34496
0.0214844,-0.627415,1.1159,2.40382
0.0215234,-0.809327,1.00291,2.52223
0.0215625,-1.01113,1.33648,2.74051
0.0216016,-1.03003,1.74249,3.00942
0.0216406,-0.808649,1.8783,3.20282
0.0216797,-0.50275,1.68116,3.2416
0.0217188,-0.415909,1.31445,3.15996
0.0217578,-0.630197,1.10146,3.00602
0.0217969,-0.799806,1.31218,2.81663
0.0218359,-0.769563,1.7816,2.67853
0.021875,-0.701317,1.98261,2.59836
0.0219141,-0.656915,1.59074,2.47437
0.0219531,-0.646239,0.84618,2.30484
0.0219922,-0.652303,0.442103,2.18688
0.0220312,-0.672445,0.827129,2.16989
0.0220703,-0.751249,1.58568,2.22629
0.0221094,-0.800334,1.94188,2.28528
0.0221484,-0.728065,1.65775,2.29915
0.0221875,-0.590645,1.13963,2.25262
0.0222266,-0.510952,0.900407,2.13244
0.0222656,-0.508475,1.07071,1.94342
0.0223047,-0.470573,1.38401,1.70243
0.0223437,-0.507463,1.49793,1.42778
0.0223828,-0.771014,1.34928,1.12806
0.0224219,-1.02926,1.09703,0.807953
0.0224609,-1.1171,0.714381,0.492393
0.0225,-1.13717,0.231299,0.157899
0.0225391,-1.12047,0.0623464,-0.224583
0.0225781,-1.0871,0.376871,-0.545058
0.0226172,-1.09687,0.762394,-0.703949
0.0226562,-1.12811,0.773757,-0.765085
0.0226953,-1.07903,0.426132,-0.811092
0.0227344,-0.907202,0.204196,-0.877673
0.0227734,-0.755759,0.441414,-0.96622
0.0228125,-0.741529,0.828301,-1.0329
0.0228516,-0.812254,0.834467,-1.11946
0.0228906,-0.866455,0.307957,-1.30879
0.0229297,-0.771864,-0.38791,-1.54439
0.0229687,-0.513367,-0.749598,-1.79339
0.0230078,-0.256989,-0.645995,-2.10303
0.0230469,-0.0903182,-0.302419,-2.36877
0.0230859,-0.0253784,-0.0391034,-2.45846
0.023125,-0.115989,-0.0679661,-2.43025
0.0231641,-0.272583,-0.297035,-2.39062
0.0232031,-0.277638,-0.521544,-2.34751
0.0232422,-0.119376,-0.658484,-2.2669
0.0232812,0.0651882,-0.640559,-2.17665
0.0233203,0.288034,-0.447048,-2.13282
0.0233594,0.554738,-0.174713,-2.15113
0.0233984,0.737354,0.102364,-2.23627
0.0234375,0.80761,0.299836,-2.34852
0.0234766,0.845649,0.139413,-2.44795
0.0235156,0.902729,-0.516583,-2.57653
0.0235547,0.991304,-1.10811,-2.72434
0.0235938,1.10673,-0.982627,-2.8215
0.0236328,1.23054,-0.44059,-2.87052
0.0236719,1.24283,-0.238059,-2.90949
0.0237109,1.05449,-0.47706,-2.92364
0.02375,0.863137,-0.671245,-2.85459
0.0237891,0.879493,-0.57957,-2.73072
0.0238281,1.02468,-0.469904,-2.62831
0.0238672,1.1638,-0.466647,-2.51355
